sentence,score
it gives you insight into what your day might be and you can avoid traps of the mind games  people play and avoid them.this is a great app.,0.9649000000000001
the horoscopes i read were amazingly appropriate for my friend and myself.,0.4939
i would recommend this app to all of my friends.to the person who says there is no capricorn.wtf there is capricorn i would rate 5 stars.,0.3612
try it its free .weird it seems to know whats happening.,0.5106
or maybe im just nuts lol i like this app a lot...it does what it says and in no time i have my horoscope up on my screen...i love and i use it all the timei love this app very accurate and reliable would recommend to any one that likes reading their horoscopes regularly try iti have this app.,2.8392
i highly recommendthis is a great app that is both attractive and efficient.,1.0653000000000001
highly recommended.this is a great app.,0.6249
